Study (cluster),Observation #,Reference,Publication type,Year published,Year (data collection),$ value reported based on year,Type of source,Action,Specific technique,Species,Location,Country,Country Code,Economy type (developed or developing),Cost (including),Total project costs reported (capital costs and operating costs),"Capital costs reported (planning, purchasing, land acquisition, construction, and financing)","Operating costs reported (maintenance, monitoring, and equipment repair and replacement)",Monitoring costs included,Construction costs included,In-kind costs (volunteers),Funding: Government,Funding: NGO,Funding: volunteers,Funding: private,Notes to funding,Project duration (year),Area (ha),Cost ($),Year used in CPI conversion,Restoration cost in (US$ / ha),"Restoration cost in  (US$ / ha) @2010 base, CPI","Restoration cost in (US$ / ha/ yr) @2010 base, CPI","Restoration cost in (Int$ / ha/ yr) @2010 base, GDP (PPP)",Feasibility (reasons for failure/success),Average survival (%),Notes,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,11,"Bauer D, Cyr N, Swallow S (2004) Public Preferences for Compensatory Mitigation of Salt Marsh Losses: a Contingent Choice of AlternativesNA Conserv Biol 18:401–411",journal,2004,NA,NA,secondary,Salt marsh restoration in Rhode IslandNA Original source: Coastal Resource Management Council 2003NA,NA,NA,Rhode Island,USA,USA,developed,Total cost for a project on salt marsh restoration in Rhode IslandNA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.00,3300000.00,2003.00,78571.00,93134.00,93134.00,93134.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,12,"Beck J, Gustafson DJ (2012) Plant source influence on Spartina alterniflora survival and growth in restored South Carolina Salt MarshesNA Southeast Nat 11:747-754",journal,2012,2005-2006,NA,primary,Common gardens were established at locations that previously supported SNA alterniflora plantsNA The site suffered a complete dieoff with no surviving ramets within plots or seedling recruitment during the course of this studyNA,"Planting saltmarsh (seeds, seedlings or sods)",Spartina alterniflora,"Kiawah Island, South Carolina",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,"We would like to thank Charlie Zemp, Norm Shea, Will Chapman, Shane Kersting, Ross Gardner, and the 2005 Citadel Ecology class for help in the fieldNA This project was made possible with grants and logistical support from the South Carolina Department of Natural Resources, Ashepoo Combahee Edisto (ACE) Basin NERRS Program, and The Citadel Foundation to DNAJNA GustafsonNA",2NA4,0NA12,NA,2005.00,NA,NA,NA,NA,No surviving salt marsh ramets within plots or seedling recruitment during the course of this studyNA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,13,"Beck J, Gustafson DJ (2012) Plant source influence on Spartina alterniflora survival and growth in restored South Carolina Salt MarshesNA Southeast Nat 11:747-754",journal,2012,2005-2006,NA,primary,Common gardens were established at locations that previously supported SNA alterniflora plantsNA The site suffered a complete dieoff with no surviving ramets within plots or seedling recruitment during the course of this studyNA,"Planting saltmarsh (seeds, seedlings or sods)",Spartina alterniflora,"Morgan Island, South Carolina",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,"We would like to thank Charlie Zemp, Norm Shea, Will Chapman, Shane Kersting, Ross Gardner, and the 2005 Citadel Ecology class for help in the fieldNA This project was made possible with grants and logistical support from the South Carolina Department of Natural Resources, Ashepoo Combahee Edisto (ACE) Basin NERRS Program, and The Citadel Foundation to DNAJNA GustafsonNA",2NA4,0NA2,NA,2005.00,NA,NA,NA,NA,No surviving salt marsh ramets within plots or seedling recruitment during the course of this studyNA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,14,"Beck J, Gustafson DJ (2012) Plant source influence on Spartina alterniflora survival and growth in restored South Carolina Salt MarshesNA Southeast Nat 11:747-754",journal,2012,2005-2006,NA,primary,"Study tested if locally collected smooth cordgrass will have higher plant performance than non-local commercially available plant material from native plant nurseries over a period of 2 yearsNA SNA alterniflora from each source was transplanted in a randomized block design, with plants spaced 0NA5 m apartNA Here: Survival of local plants after the first field season is reportedNA","Planting saltmarsh (seeds, seedlings or sods)",Spartina alterniflora,"Kiawah Island and Morgan Island , South Carolina",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,"We would like to thank Charlie Zemp, Norm Shea, Will Chapman, Shane Kersting, Ross Gardner, and the 2005 Citadel Ecology class for help in the fieldNA This project was made possible with grants and logistical support from the South Carolina Department of Natural Resources, Ashepoo Combahee Edisto (ACE) Basin NERRS Program, and The Citadel Foundation to DNAJNA GustafsonNA",1NA4,0NA32,NA,2005.00,NA,NA,NA,NA,Locally collected salt marshes have a higher survival than imported plantsNA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,15,"Beck J, Gustafson DJ (2012) Plant source influence on Spartina alterniflora survival and growth in restored South Carolina Salt MarshesNA Southeast Nat 11:747-754",journal,2012,2005-2006,NA,primary,"Study tested if locally collected smooth cordgrass will have higher plant performance than non-local commercially available plant material from native plant nurseries over a period of 2 yearsNA SNA alterniflora from each source was transplanted in a randomized block design, with plants spaced 0NA5 m apartNA Here: Survival of local plants after the second field season is reportedNA","Planting saltmarsh (seeds, seedlings or sods)",Spartina alterniflora,"Kiawah Island and Morgan Island , South Carolina",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,"We would like to thank Charlie Zemp, Norm Shea, Will Chapman, Shane Kersting, Ross Gardner, and the 2005 Citadel Ecology class for help in the fieldNA This project was made possible with grants and logistical support from the South Carolina Department of Natural Resources, Ashepoo Combahee Edisto (ACE) Basin NERRS Program, and The Citadel Foundation to DNAJNA GustafsonNA",2NA4,0NA32,NA,2005.00,NA,NA,NA,NA,Locally collected salt marshes have a higher survival than imported plantsNA,14NA9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,16,"Beck J, Gustafson DJ (2012) Plant source influence on Spartina alterniflora survival and growth in restored South Carolina Salt MarshesNA Southeast Nat 11:747-754",journal,2012,2005-2006,NA,primary,"Study tested if locally collected smooth cordgrass will have higher plant performance than non-local commercially available plant material from native plant nurseries over a period of 2 yearsNA SNA alterniflora from each source was transplanted in a randomized block design, with plants spaced 0NA5 m apartNA Here: Survival of non-local plants after the first field season is reportedNA","Planting saltmarsh (seeds, seedlings or sods)",Spartina alterniflora,"Kiawah Island and Morgan Island , South Carolina",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,"We would like to thank Charlie Zemp, Norm Shea, Will Chapman, Shane Kersting, Ross Gardner, and the 2005 Citadel Ecology class for help in the fieldNA This project was made possible with grants and logistical support from the South Carolina Department of Natural Resources, Ashepoo Combahee Edisto (ACE) Basin NERRS Program, and The Citadel Foundation to DNAJNA GustafsonNA",1NA4,0NA32,NA,2005.00,NA,NA,NA,NA,Locally collected salt marshes have a higher survival than imported plantsNA,24NA3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,17,"Beck J, Gustafson DJ (2012) Plant source influence on Spartina alterniflora survival and growth in restored South Carolina Salt MarshesNA Southeast Nat 11:747-754",journal,2012,2005-2006,NA,primary,"Study tested if locally collected smooth cordgrass will have higher plant performance than non-local commercially available plant material from native plant nurseries over a period of 2 yearsNA SNA alterniflora from each source was transplanted in a randomized block design, with plants spaced 0NA5 m apartNA Here: Survival of non-local plants after the second field season is reportedNA","Planting saltmarsh (seeds, seedlings or sods)",Spartina alterniflora,"Kiawah Island and Morgan Island , South Carolina",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,"We would like to thank Charlie Zemp, Norm Shea, Will Chapman, Shane Kersting, Ross Gardner, and the 2005 Citadel Ecology class for help in the fieldNA This project was made possible with grants and logistical support from the South Carolina Department of Natural Resources, Ashepoo Combahee Edisto (ACE) Basin NERRS Program, and The Citadel Foundation to DNAJNA GustafsonNA",2NA4,0NA32,NA,2005.00,NA,NA,NA,NA,Locally collected salt marshes have a higher survival than imported plantsNA,3NA7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,18,"Bergen A, Alderson C, Bergfors R, Aquila C, Matsil M (2000) Restoration of a Spartina alterniflora salt marsh following a fuel oil spill, New York City, NYNA Wetl Ecol Manag 8:185–195",journal,2000,1993-1997,NA,primary,"Salt marsh restoration after a fuel oil spill of 2NA5 million liters by planting seedlings and transplants in areas of low salt marsh severely impacted by oilNA Biomass, stem density, flower density, height of plants, rhizome spread, basal area and plant cover were monitored for a minimum of three years between 1993 and 1997NA","Planting saltmarsh (seeds, seedlings or sods)",Spartina alterniflora,New York City,USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,"The authors thank the New York/New Jersey Harbor Estuary Oil Spill Trustees; the Natural Resources Group, New York City Parks; BNA Litus, GATX Corporation; MNA Levandowsky, Pace University; RNA Kruzansky, Central Park Soil Lab, New York City Parks; CNA Mohlenoff, Victory Nursery, New York City Parks; DNA Packer, NOAA National Marine Fisheries Science Center; City Volunteer Corp; Jersey City Youth Corp; Americorp; The Baykeeper; New York Cares; volunteers from throughout the New York City area and Commissioners Henry JNA Stern and BNA Gottbaum, New York City Parks & Recreation DepartmentNA",NA,NA,NA,1993.00,NA,NA,NA,NA,"Plant spacing, shoreline morphology, wave energy generated by passing vessels, and predation by Branta canadensis (Canada Goose) were the most critical factorsNA Seedlings spaced 30 cm apart provided rapid cover at two of three sites and contributed to overall survivalNA Where initial survival was high, goose predation was lowNA Overall plant cover was 15% after three growing seasons, dropping from 20% in the second year after plantingNA",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,19,"Bergen A, Alderson C, Bergfors R, Aquila C, Matsil M (2000) Restoration of a Spartina alterniflora salt marsh following a fuel oil spill, New York City, NYNA Wetl Ecol Manag 8:185–196",journal,2000,1993-1997,NA,primary,"SeedlingsNA Between April 1993 and August 1994, 81,500 SNA alterniflora seedlings and 388 transplants were planted in 0NA87 ha at Old Place - 0NA4 km east of the origin of the January 1990 spillNA Wave energy was comparable to Old Place and Prall’s Island, with an erosive shoreline predominatingNA Seedlings were nursery grown (until becoming 15-20 cm mature transplants) in 5 cm2 peat pots from seeds collected from MarylandNA All seedlings were fertilized with 30 g of Osmocote 18-6-12, 8–9 month time release fertilizer and all transplants with 180 gNA All sites were enclosed with goose exclusion fenceNA Following the initial planting, no replanting, fertilization or debris removal was undertaken at any siteNA At Old Place sixteen permanent m2 at elevations 0NA79 m, 0NA94 m and 1NA12 m above MLW were set on three transects perpendicular to the shore and were monitored at the site for three yearsNA","Planting saltmarsh (seeds, seedlings or sods)",Spartina alterniflora,Old Place,USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,"The authors thank the New York/New Jersey Harbor Estuary Oil Spill Trustees; the Natural Resources Group, New York City Parks; BNA Litus, GATX Corporation; MNA Levandowsky, Pace University; RNA Kruzansky, Central Park Soil Lab, New York City Parks; CNA Mohlenoff, Victory Nursery, New York City Parks; DNA Packer, NOAA National Marine Fisheries Science Center; City Volunteer Corp; Jersey City Youth Corp; Americorp; The Baykeeper; New York Cares; volunteers from throughout the New York City area and Commissioners Henry JNA Stern and BNA Gottbaum, New York City Parks & Recreation DepartmentNA",4,0NA87,NA,1993.00,NA,NA,NA,NA,"The initial survival one month after planting at Old Place was 99%NA In 1995, summer rought and fungal rust caused a loss of aboveground and belowground biomass, along with a reduction in flowers, rhizome spread and plant coverNA Less than half of these seedlings survivedNA Natural seed germination was observed for the first time at Old Place during June, 1996 and 1997NA Feasibility here given as mean salt marsh cover over the years of monitoringNA",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,20,"Bergen A, Alderson C, Bergfors R, Aquila C, Matsil M (2000) Restoration of a Spartina alterniflora salt marsh following a fuel oil spill, New York City, NYNA Wetl Ecol Manag 8:185–196",journal,2000,1993-1997,NA,primary,TransplantsNA,"Planting saltmarsh (seeds, seedlings or sods)",Spartina alterniflora,Old Place,USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,"The authors thank the New York/New Jersey Harbor Estuary Oil Spill Trustees; the Natural Resources Group, New York City Parks; BNA Litus, GATX Corporation; MNA Levandowsky, Pace University; RNA Kruzansky, Central Park Soil Lab, New York City Parks; CNA Mohlenoff, Victory Nursery, New York City Parks; DNA Packer, NOAA National Marine Fisheries Science Center; City Volunteer Corp; Jersey City Youth Corp; Americorp; The Baykeeper; New York Cares; volunteers from throughout the New York City area and Commissioners Henry JNA Stern and BNA Gottbaum, New York City Parks & Recreation DepartmentNA",NA,0NA36,NA,1993.00,NA,NA,NA,NA,"By the end of 1996 all transplants were deadNA Natural seed germination was observed at this site in 1996 and 1997, but germinated seedlings did not surviveNA Feasibility here given as mean salt marsh cover over the years of monitoringNA",65NA5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,21,"Bergen A, Alderson C, Bergfors R, Aquila C, Matsil M (2000) Restoration of a Spartina alterniflora salt marsh following a fuel oil spill, New York City, NYNA Wetl Ecol Manag 8:185–197",journal,2000,1994-1996,NA,primary,"In May 1994 and July 1996, 38,000 SNA alterniflora seedlings were planted in 0NA36 ha of denuded fringe marsh on Prall’s Island - 3NA3 km south of the origin of the January 1990 spillNA Wave energy was comparable to Old Place and Prall’s Island, with an erosive shoreline predominatingNA Seedlings were nursery grown (until becoming 15-20 cm mature transplants)  in 5 cm2 peat pots from seeds collected on Staten IslandNA All seedlings were fertilized with 30 g of Osmocote 18-6-12, 8–9 month time release fertilizer and all transplants with 180 gNA All sites were enclosed with goose exclusion fenceNA Following the initial planting, no replanting, fertilization or debris removal was undertaken at any siteNA At Prall’s Island ten permanent m2 at elevations of 0NA82 m, 1NA15 m and 1NA28 m above MLW were set on four transects perpendicular to the shore and monitored at the site for three yearsNA","Planting saltmarsh (seeds, seedlings or sods)",Spartina alterniflora,Prall’s Island,USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,yes,NA,"The authors thank the New York/New Jersey Harbor Estuary Oil Spill Trustees; the Natural Resources Group, New York City Parks; BNA Litus, GATX Corporation; MNA Levandowsky, Pace University; RNA Kruzansky, Central Park Soil Lab, New York City Parks; CNA Mohlenoff, Victory Nursery, New York City Parks; DNA Packer, NOAA National Marine Fisheries Science Center; City Volunteer Corp; Jersey City Youth Corp; Americorp; The Baykeeper; New York Cares; volunteers from throughout the New York City area and Commissioners Henry JNA Stern and BNA Gottbaum, New York City Parks & Recreation DepartmentNA",3,0NA36,NA,1994.00,NA,NA,NA,NA,"At Prall’s Island seedlings and transplants had an initial survival of 60%, followed by an increase of stem and flower density, height and plant cover in the three years monitoredNA Impact of fungal rust in 1995NA Plant cover was 36% after one year, but increased to 76% after three yearsNA Grazing by BNA canadensis caused minimal damage to seedlings in the first year after plantingNA Natural seed germination was not observed at Prall’s IslandNA Feasibility here given as mean salt marsh cover over the years of monitoringNA",59NA3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
